First Name,Last Name,Position,Team
Ivica,Zubac,Center,lakers
Alex,Abrines,Guard,thunder
Quincy,Acy,Forward,nets
Steven,Adams,Center,thunder
Bam,Adebayo,Center-Forward,heat
Arron,Afflalo,Guard,magic
Alexis,Ajinca,Center,pelicans
Cole,Aldrich,Center,timberwolves
LaMarcus,Aldridge,Forward,spurs
Jarrett,Allen,Center,nets
Kadeem,Allen,Guard,celtics
Al-Farouq,Aminu,Forward,blazers
Justin,Anderson,Guard-Forward,sixers
Kyle,Anderson,Forward,spurs
Ryan,Anderson,Forward,rockets
Ike,Anigbogu,Center,pacers
Giannis,Antetokounmpo,Forward,bucks
Carmelo,Anthony,Forward,thunder
OG,Anunoby,Forward,raptors
Ryan,Arcidiacono,Guard,bulls
Trevor,Ariza,Forward-Guard,rockets
Darrell,Arthur,Forward,nuggets
Jamel,Artis,Guard,magic
Omer,Asik,Center,bulls
D.J.,Augustin,Guard,magic
Luke,Babbitt,Forward,heat
Dwayne,Bacon,Forward,hornets
Ron,Baker,Guard,knicks
Wade,Baldwin,Guard,blazers
Lonzo,Ball,Guard,lakers
J.J.,Barea,Guard,mavericks
Harrison,Barnes,Forward,mavericks
Will,Barton,Forward-Guard,nuggets
Nicolas,Batum,Guard-Forward,hornets
Jerryd,Bayless,Guard,sixers
Aron,Baynes,Center,celtics
Kent,Bazemore,Guard,hawks
Bradley,Beal,Guard,wizards
Malik,Beasley,Guard,nuggets
Michael,Beasley,Forward,knicks
Marco,Belinelli,Guard-Forward,sixers
Jordan,Bell,Center-Forward,warriors
'DeAndre''',Bembry,Forward-Guard,hawks
Dragan,Bender,Forward,suns
Davis,Bertans,Center-Forward,spurs
Patrick,Beverley,Guard,clippers
Khem,Birch,Center,magic
Jabari,Bird,Guard,celtics
Bismack,Biyombo,Center,magic
Nemanja,Bjelica,Forward,timberwolves
Tarik,Black,Forward-Center,rockets
Antonio,Blakeney,Guard,bulls
Eric,Bledsoe,Guard,bucks
Bogdan,Bogdanovic,Guard,kings
Bojan,Bogdanovic,Forward,pacers
Devin,Booker,Guard,suns
Trevor,Booker,Forward,pacers
Chris,Boucher,Forward,warriors
Avery,Bradley,Guard,clippers
Tony,Bradley,Center,jazz
Corey,Brewer,Guard-Forward,thunder
Malcolm,Brogdon,Guard,bucks
Aaron,Brooks,Guard,timberwolves
Dillon,Brooks,Forward-Guard,grizzlies
MarShon,Brooks,Guard-Forward,grizzlies
Anthony,Brown,Forward,timberwolves
Jaylen,Brown,Guard-Forward,celtics
Lorenzo,Brown,Guard,raptors
Markel,Brown,Guard,rockets
Sterling,Brown,Guard,bucks
Thomas,Bryant,Center,lakers
Reggie,Bullock,Guard-Forward,pistons
Trey,Burke,Guard,knicks
Alec,Burks,Guard,jazz
Jimmy,Butler,Guard,timberwolves
Dwight,Buycks,Guard,pistons
Bruno,Caboclo,Forward,kings
Jose,Calderon,Guard,cavaliers
Kentavious,Caldwell-Pope,Guard,lakers
Clint,Capela,Center,rockets
DeMarre,Carroll,Forward,nets
Michael,Carter-Williams,Guard,hornets
Vince,Carter,Guard-Forward,kings
Alex,Caruso,Guard,lakers
Willie,Cauley-Stein,Center,kings
Tyler,Cavanaugh,Forward,hawks
Mario,Chalmers,Guard,grizzlies
Tyson,Chandler,Center,suns
Wilson,Chandler,Forward,nuggets
Marquese,Chriss,Forward,suns
Ian,Clark,Guard,pelicans
Jordan,Clarkson,Guard,cavaliers
Antonius,Cleveland,Guard,hawks
John,Collins,Forward-Center,hawks
Kyle,Collinsworth,Guard,mavericks
Zach,Collins,Center-Forward,blazers
Darren,Collison,Guard,pacers
Nick,Collison,Forward,thunder
Mike,Conley,Guard,grizzlies
Pat,Connaughton,Guard-Forward,blazers
Charles,Cooke,Guard,pelicans
Quinn,Cook,Guard,warriors
Jack,Cooley,Center,kings
Matt,Costello,Forward-Center,spurs
DeMarcus,Cousins,Center,pelicans
Robert,Covington,Forward,sixers
Allen,Crabbe,Guard-Forward,nets
Torrey,Craig,Guard-Forward,nuggets
Jamal,Crawford,Guard,timberwolves
Jordan,Crawford,Guard,pelicans
Jae,Crowder,Forward,jazz
Dante,Cunningham,Forward,nets
Seth,Curry,Guard,mavericks
Stephen,Curry,Guard,warriors
Troy,Daniels,Guard,suns
Anthony,Davis,Forward-Center,pelicans
Deyonta,Davis,Center-Forward,grizzlies
Ed,Davis,Forward-Center,blazers
Dewayne,Dedmon,Center,hawks
Sam,Dekker,Forward,clippers
Malcolm,Delaney,Guard,hawks
Matthew,Dellavedova,Guard,bucks
Luol,Deng,Forward,lakers
DeMar,DeRozan,Guard,raptors
Cheick,Diallo,Forward,pelicans
Gorgui,Dieng,Center,timberwolves
Spencer,Dinwiddie,Guard,nets
Tyler,Dorsey,Guard,hawks
Damyean,Dotson,Guard,knicks
Milton,Doyle,Guard,nets
PJ,Dozier,Guard,thunder
Goran,Dragic,Guard,heat
Larry,Drew,Guard,pelicans
Andre,Drummond,Center,pistons
Jared,Dudley,Forward,suns
Kris,Dunn,Guard,bulls
Kevin,Durant,Forward,warriors
Jarell,Eddie,Guard-Forward,bulls
Henry,Ellenson,Forward,pistons
Wayne,Ellington,Guard,heat
Joel,Embiid,Center,sixers
James,Ennis,Forward,pistons
Tyler,Ennis,Guard,lakers
Jawun,Evans,Guard,clippers
Jeremy,Evans,Forward,hawks
Tyreke,Evans,Guard-Forward,grizzlies
Dante,Exum,Guard,jazz
Kenneth,Faried,Forward,nuggets
Derrick,Favors,Forward-Center,jazz
Kay,Felder,Guard,pistons
Cristiano,Felicio,Center-Forward,bulls
Raymond,Felton,Guard,thunder
Terrance,Ferguson,Guard,thunder
Yogi,Ferrell,Guard,mavericks
Dorian,Finney-Smith,Forward,mavericks
Bryn,Forbes,Guard,spurs
Evan,Fournier,Guard-Forward,magic
'De''Aaron',Fox,Guard,kings
Tim,Frazier,Guard,wizards
Channing,Frye,Forward,lakers
Markelle,Fultz,Guard,sixers
Danilo,Gallinari,Forward,clippers
Langston,Galloway,Guard,pistons
Marc,Gasol,Center,grizzlies
Pau,Gasol,Center,spurs
Rudy,Gay,Forward,spurs
Paul,George,Forward,thunder
Marcus,Georges-Hunt,Guard,timberwolves
Jonathan,Gibson,Guard,celtics
Taj,Gibson,Forward,timberwolves
Harry,Giles,Forward-Center,kings
Manu,Ginobili,Guard,spurs
Rudy,Gobert,Center,jazz
Aaron,Gordon,Forward,magic
Eric,Gordon,Guard,rockets
Marcin,Gortat,Center,wizards
Treveon,Graham,Guard-Forward,hornets
Jerami,Grant,Forward,thunder
Jerian,Grant,Guard,bulls
Danny,Green,Guard-Forward,spurs
Draymond,Green,Forward,warriors
Gerald,Green,Guard-Forward,rockets
JaMychal,Green,Forward,grizzlies
Jeff,Green,Forward,cavaliers
Blake,Griffin,Forward,pistons
Daniel,Hamilton,Guard,thunder
Tim,Hardaway,Forward-Guard,knicks
James,Harden,Guard,rockets
Maurice,Harkless,Forward,blazers
Montrezl,Harrell,Forward-Center,clippers
Devin,Harris,Guard,nuggets
Gary,Harris,Guard,nuggets
Joe,Harris,Forward-Guard,nets
Aaron,Harrison,Guard,mavericks
Andrew,Harrison,Guard,grizzlies
Shaquille,Harrison,Guard,suns
Tobias,Harris,Forward,clippers
Josh,Hart,Guard,lakers
Udonis,Haslem,Forward,heat
Nigel,Hayes,Forward,kings
Gordon,Hayward,Forward,celtics
Reggie,Hearn,Guard,pistons
Myke,Henry,Forward,grizzlies
John,Henson,Center,bucks
Juancho,Hernangomez,Forward,nuggets
Willy,Hernangomez,Center,hornets
Mario,Hezonja,Forward-Guard,magic
Isaiah,Hicks,Forward,knicks
Buddy,Hield,Guard,kings
George,Hill,Guard,cavaliers
Darrun,Hilliard,Guard,spurs
Solomon,Hill,Forward,pelicans
Jrue,Holiday,Guard,pelicans
Justin,Holiday,Guard,bulls
Rondae,Hollis-Jefferson,Forward,nets
Richaun,Holmes,Forward-Center,sixers
Rodney,Hood,Guard,cavaliers
Al,Horford,Forward-Center,celtics
Danuel,House,Forward-Guard,suns
Dwight,Howard,Center,hornets
Josh,Huestis,Guard,thunder
RJ,Hunter,Guard,rockets
Serge,Ibaka,Forward,raptors
Andre,Iguodala,Forward-Guard,warriors
Ersan,Ilyasova,Forward,sixers
Joe,Ingles,Forward,jazz
Andre,Ingram,Guard,lakers
Brandon,Ingram,Forward-Guard,lakers
Kyrie,Irving,Guard,celtics
Jonathan,Isaac,Forward,magic
Wes,Iwundu,Forward,magic
Jarrett,Jack,Guard,knicks
Aaron,Jackson,Guard,rockets
Demetrius,Jackson,Guard,sixers
Frank,Jackson,Guard,pelicans
Josh,Jackson,Guard-Forward,suns
