Name,FTM,3P%,3PA,TOV,PF,REB,3PM,FG%,FGA,OREB,FT%,FTA,FGM,DREB,PTS,MIN,+/-,AST,STL,BLK,Date,Game,1st Qtr H,2nd Qtr H,3rd Qtr H,4th Qtr H,1st Qtr A,2nd Qtr A,3rd Qtr A,4th Qtr A,Total H,Total A,Ref1,Ref2,Ref3,W/L,Home,Away,Fantasy Score
Juancho Hernangomez,0,16.7,6,0,4,10,1,33.3,9,3,0,0,3,7,7,28:05,-12,0,1,0,"NOV 28 2017",301,24,25,17,11,26,22,28,30,106,77,"Callahan""""","Wood""""",Adams,UTAH,DEN,UTA,22
Kenneth Faried,5,0,0,2,0,8,0,37.5,8,5,83.3,6,3,3,11,23:09,-5,0,0,0,"NOV 28 2017",301,24,25,17,11,26,22,28,30,106,77,"Callahan""""","Wood""""",Adams,UTAH,DEN,UTA,12
Nikola Jokic,0,33.3,3,2,1,6,1,42.9,7,0,0,0,3,6,7,26:16,-20,6,1,1,"NOV 28 2017",301,24,25,17,11,26,22,28,30,106,77,"Callahan""""","Wood""""",Adams,UTAH,DEN,UTA,28
Gary Harris,2,36.4,11,2,2,3,4,37.5,16,0,100,2,6,3,18,33:19,-23,1,1,0,"NOV 28 2017",301,24,25,17,11,26,22,28,30,106,77,"Callahan""""","Wood""""",Adams,UTAH,DEN,UTA,29.5
Jamal Murray,0,0,6,3,1,1,0,38.5,13,1,0,0,5,0,10,29:07,-21,2,0,1,"NOV 28 2017",301,24,25,17,11,26,22,28,30,106,77,"Callahan""""","Wood""""",Adams,UTAH,DEN,UTA,14
Trey Lyles,2,0,2,1,0,2,0,33.3,6,2,100,2,2,0,6,17:44,-19,0,0,1,"NOV 28 2017",301,24,25,17,11,26,22,28,30,106,77,"Callahan""""","Wood""""",Adams,UTAH,DEN,UTA,8
Will Barton,2,50,2,0,3,4,1,42.9,7,1,100,2,3,3,9,31:03,-21,0,0,0,"NOV 28 2017",301,24,25,17,11,26,22,28,30,106,77,"Callahan""""","Wood""""",Adams,UTAH,DEN,UTA,13
Emmanuel Mudiay,2,0,2,5,1,3,0,33.3,6,0,100,2,2,3,6,18:53,-8,3,1,1,"NOV 28 2017",301,24,25,17,11,26,22,28,30,106,77,"Callahan""""","Wood""""",Adams,UTAH,DEN,UTA,12.5
Mason Plumlee,0,0,0,1,1,2,0,0,3,0,0,0,0,2,0,15:33,-4,0,0,1,"NOV 28 2017",301,24,25,17,11,26,22,28,30,106,77,"Callahan""""","Wood""""",Adams,UTAH,DEN,UTA,4
Malik Beasley,1,0,1,1,0,2,0,50,2,0,50,2,1,2,3,10:40,-7,1,0,1,"NOV 28 2017",301,24,25,17,11,26,22,28,30,106,77,"Callahan""""","Wood""""",Adams,UTAH,DEN,UTA,7.5
Torrey Craig,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,6:11,-5,0,0,0,"NOV 28 2017",301,24,25,17,11,26,22,28,30,106,77,"Callahan""""","Wood""""",Adams,UTAH,DEN,UTA,1
Darrell Arthur,NA,NA,NA,NA,NA,NA,NA,DECISION,'COACH''S',NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,"NOV 28 2017",301,24,25,17,11,26,22,28,30,106,77,"Callahan""""","Wood""""",Adams,UTAH,DEN,UTA,NA
