Name,FTM,3P%,3PA,TOV,PF,REB,3PM,FG%,FGA,OREB,FT%,FTA,FGM,DREB,PTS,MIN,+/-,AST,STL,BLK,Date,Game,1QH,2QH,3QH,4QH,1QA,2QA,3QA,4QA,Total_H,Total_A,Ref1,Ref2,Ref3,W/L,Home,Away,Fantasy Score,Season_Year,Years,Pos,Ht,Wt,Last_Game_TOV,AverageTOV,Last_Game_REB,AverageREB,Last_Game_3PM,Average3PM,Last_Game_FGM,AverageFGM,Last_Game_PTS,AveragePTS,Last_Game_AST,AverageAST,Last_Game_STL,AverageSTL,Last_Game_BLK,AverageBLK
Alex Abrines,0,33.3,6,0,2,2,2,37.5,8,0,0,0,3,2,8,23:29,-5,0,0,0,10/16/2018,2,23,24,32,21,31,26,26,25,108,100,"Zarba""","Forte""",Petraitis,GOLDEN,OKC,GSW,14,2019,3,G-F,6-Jun,190,,,,,,,,,,,,,,,,
Steven Adams,5,0,0,2,3,11,0,50,12,4,63,8,6,7,17,35:36:00,-6,4,0,2,10/16/2018,2,23,24,32,21,31,26,26,25,108,100,"Zarba""","Forte""",Petraitis,GOLDEN,OKC,GSW,33,2019,6,C,Jul-00,255,,,,,,,,,,,,,,,,
Bam Adebayo,1,0,1,1,3,8,0,44.4,9,2,50,2,4,6,9,21:59,-6,2,0,1,10/17/2018,6,31,20,27,23,25,29,25,25,104,101,"Washington""","Boland""",Acosta,ORLANDO,MIA,ORL,21,2019,2,C-F,10-Jun,243,,,,,,,,,,,,,,,,
Bam Adebayo,2,0,0,3,2,9,0,25,4,3,50,4,1,6,4,17:08,4,0,0,0,10/18/2018,15,24,34,27,28,25,34,30,23,112,113,"Ayotte""","Wright""",Smith,MIAMI,MIA,WAS,8,2019,2,C-F,10-Jun,243,1,,8,,0,,4,,9,,2,,0,,1,
LaMarcus Aldridge,7,0,1,2,2,19,0,30.4,23,8,70,10,7,11,21,41:40:00,6,2,3,1,10/17/2018,10,23,29,31,25,31,25,25,31,112,108,"Brown""","Maddox""",Ervin,SAN,MIN,SAS,46,2019,13,F-C,11-Jun,260,,,,,,,,,,,,,,,,
Jarrett Allen,3,66.7,3,2,4,10,2,60,10,2,75,4,6,8,17,30:10:00,-9,0,4,0,10/17/2018,4,29,22,25,24,24,27,32,20,103,100,"Mott""","Dalen""",Lane,DETROIT,BKN,DET,38,2019,2,F-C,10-Jun,234,,,,,,,,,,,,,,,,
Kyle Anderson,1,0,0,2,2,2,0,33.3,6,0,50,2,2,2,5,19:15,-11,1,0,0,10/17/2018,5,16,23,19,25,27,29,20,35,111,83,"Brothers""","Taylor""",Van,INDIANA,MEM,IND,6,2019,5,F-G,9-Jun,230,,,,,,,,,,,,,,,,
Ryan Anderson,0,0,1,1,0,7,0,25,4,3,0,0,1,4,2,24:01:00,22,3,0,0,10/17/2018,13,24,22,27,27,37,19,27,38,121,100,"Callahan""","Wood""",Scott,PHOENIX,DAL,PHX,13,2019,11,F,10-Jun,240,,,,,,,,,,,,,,,,
Giannis Antetokounmpo,7,0,3,8,5,18,0,42.9,21,3,58,12,9,15,25,34:46:00,11,8,1,0,10/17/2018,3,36,31,26,20,23,31,29,29,112,113,"Corbin""","Foster""",Richardson,MILWAUKEE,MIL,CHA,43,2019,6,F-G,11-Jun,222,,,,,,,,,,,,,,,,
Carmelo Anthony,2,20,5,2,4,4,1,30,10,1,50,4,3,3,9,27:00:00,-20,0,1,0,10/17/2018,9,35,36,30,30,29,25,30,28,112,131,"Lewis""","Blair""",Cutler,NEW,NOP,HOU,14,2019,16,F,8-Jun,240,,,,,,,,,,,,,,,,
OG Anunoby,0,0,1,1,1,0,0,66.7,3,0,0,0,2,0,4,17:31,-2,0,0,1,10/17/2018,8,25,22,28,29,28,32,30,26,116,104,"Ayotte""","Fitzgerald""",Nansel,TORONTO,CLE,TOR,6,2019,2,F,8-Jun,232,,,,,,,,,,,,,,,,
Ryan Arcidiacono,0,66.7,3,0,0,4,2,75,4,0,0,0,3,4,8,28:15:00,-5,8,0,0,10/18/2018,14,41,17,18,32,38,27,37,25,127,108,"Mauer""","Fraher""",Buchert,PHILADELPHIA,CHI,PHI,28,2019,2,G,3-Jun,188,,,,,,,,,,,,,,,,
Trevor Ariza,2,55.6,9,0,2,8,5,58.3,12,0,100,2,7,8,21,37:01:00,25,7,0,1,10/17/2018,13,24,22,27,27,37,19,27,38,121,100,"Callahan""","Wood""",Scott,PHOENIX,DAL,PHX,51,2019,15,F,8-Jun,215,,,,,,,,,,,,,,,,
Ron Baker,2,0,3,2,4,4,0,0,3,0,100,2,0,4,2,27:26:00,5,4,0,1,10/17/2018,7,24,25,35,23,23,49,34,20,126,107,"Garretson""","Goble""",Kogut,NEW,ATL,NYK,11,2019,3,G,4-Jun,220,,,,,,,,,,,,,,,,
Lonzo Ball,2,25,4,1,3,4,1,28.6,7,2,100,2,2,2,7,19:28,-15,1,0,1,10/18/2018,16,31,32,28,28,34,31,28,35,128,119,"Zarba""","Forte""",Petraitis,PORTLAND,LAL,POR,15,2019,2,G,6-Jun,190,,,,,,,,,,,,,,,,
Will Barton,4,60,5,2,2,5,3,50,12,0,100,4,6,5,19,34:46:00,10,2,2,0,10/17/2018,12,29,30,15,33,24,30,18,26,98,107,"Richardson""","Phillips""",Twardoski,DENVER,DEN,LAC,33,2019,7,G,6-Jun,175,,,,,,,,,,,,,,,,
Nicolas Batum,0,25,4,2,1,7,1,25,8,1,0,0,2,6,5,31:49:00,-4,3,2,2,10/17/2018,3,36,31,26,20,23,31,29,29,112,113,"Corbin""","Foster""",Richardson,MILWAUKEE,MIL,CHA,29,2019,11,F-G,8-Jun,200,,,,,,,,,,,,,,,,
Aron Baynes,0,50,4,1,3,4,2,42.9,7,3,0,0,3,1,8,19:14,8,3,0,0,10/16/2018,1,21,21,24,21,21,26,30,28,105,87,"Foster""","Garretson""",Taylor,BOSTON,PHI,BOS,20,2019,7,C,10-Jun,260,,,,,,,,,,,,,,,,
Kent Bazemore,0,33.3,6,2,3,6,2,50,12,2,0,0,6,4,14,30:16:00,0,0,1,2,10/17/2018,7,24,25,35,23,23,49,34,20,126,107,"Garretson""","Goble""",Kogut,NEW,ATL,NYK,31,2019,7,G-F,5-Jun,201,,,,,,,,,,,,,,,,
Bradley Beal,4,28.6,7,1,5,1,2,43.8,16,0,67,6,7,1,20,27:11:00,-6,2,0,1,10/18/2018,15,24,34,27,28,25,34,30,23,112,113,"Ayotte""","Wright""",Smith,MIAMI,MIA,WAS,26,2019,7,G,5-Jun,207,,,,,,,,,,,,,,,,
Malik Beasley,0,33.3,3,1,1,1,1,33.3,6,0,0,0,2,1,5,11:45,1,1,0,0,10/17/2018,12,29,30,15,33,24,30,18,26,98,107,"Richardson""","Phillips""",Twardoski,DENVER,DEN,LAC,9,2019,3,G,5-Jun,196,,,,,,,,,,,,,,,,
Michael Beasley,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2:18,-4,0,0,0,10/18/2018,16,31,32,28,28,34,31,28,35,128,119,"Zarba""","Forte""",Petraitis,PORTLAND,LAL,POR,1,2019,11,F,9-Jun,235,,,,,,,,,,,,,,,,
Marco Belinelli,2,50,4,1,1,4,2,50,6,0,100,2,3,4,10,21:47,3,2,0,0,10/17/2018,10,23,29,31,25,31,25,25,31,112,108,"Brown""","Maddox""",Ervin,SAN,MIN,SAS,18,2019,12,G-F,5-Jun,210,,,,,,,,,,,,,,,,
Jordan Bell,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,6:39,-6,0,1,0,10/16/2018,2,23,24,32,21,31,26,26,25,108,100,"Zarba""","Forte""",Petraitis,GOLDEN,OKC,GSW,5,2019,2,F,9-Jun,224,,,,,,,,,,,,,,,,
Davis Bertans,0,75,4,0,0,1,3,75,4,0,0,0,3,1,9,17:50,3,2,0,0,10/17/2018,10,23,29,31,25,31,25,25,31,112,108,"Brown""","Maddox""",Ervin,SAN,MIN,SAS,19,2019,3,F,10-Jun,210,,,,,,,,,,,,,,,,
Patrick Beverley,0,0,5,1,5,4,0,0,8,0,0,0,0,4,0,19:31,-9,6,1,0,10/17/2018,12,29,30,15,33,24,30,18,26,98,107,"Richardson""","Phillips""",Twardoski,DENVER,DEN,LAC,15,2019,7,G,1-Jun,185,,,,,,,,,,,,,,,,
Nemanja Bjelica,0,100,2,0,2,8,2,66.7,12,1,0,0,8,7,18,27:09:00,12,2,0,1,10/17/2018,11,30,38,25,30,34,21,32,30,117,123,"Davis""","Orr""",Washington,UTAH,UTA,SAC,36,2019,4,F,10-Jun,240,,,,,,,,,,,,,,,,
Antonio Blakeney,2,33.3,3,1,2,5,1,37.5,16,0,67,3,6,5,15,30:27:00,6,2,0,0,10/18/2018,14,41,17,18,32,38,27,37,25,127,108,"Mauer""","Fraher""",Buchert,PHILADELPHIA,CHI,PHI,22,2019,2,G,4-Jun,197,,,,,,,,,,,,,,,,
Eric Bledsoe,0,60,5,2,4,4,3,53.8,13,2,0,0,7,2,17,33:32:00,4,3,1,0,10/17/2018,3,36,31,26,20,23,31,29,29,112,113,"Corbin""","Foster""",Richardson,MILWAUKEE,MIL,CHA,33,2019,9,G,1-Jun,205,,,,,,,,,,,,,,,,
Bojan Bogdanovic,2,100,3,3,0,6,3,77.8,9,0,100,2,7,6,19,27:06:00,8,0,0,0,10/17/2018,5,16,23,19,25,27,29,20,35,111,83,"Brothers""","Taylor""",Van,INDIANA,MEM,IND,26,2019,5,G-F,8-Jun,216,,,,,,,,,,,,,,,,
Devin Booker,5,60,10,3,4,4,6,63.2,19,0,83,6,12,4,35,33:27:00,22,7,0,0,10/17/2018,13,24,22,27,27,37,19,27,38,121,100,"Callahan""","Wood""",Scott,PHOENIX,DAL,PHX,54,2019,4,G,6-Jun,206,,,,,,,,,,,,,,,,
Avery Bradley,0,0,2,2,2,2,0,40,10,2,0,0,4,0,8,27:57:00,-9,0,2,1,10/17/2018,12,29,30,15,33,24,30,18,26,98,107,"Richardson""","Phillips""",Twardoski,DENVER,DEN,LAC,17,2019,9,G,2-Jun,180,,,,,,,,,,,,,,,,
