Name,FTM,3P%,3PA,TOV,PF,REB,3PM,FG%,FGA,OREB,FT%,FTA,FGM,DREB,PTS,MIN,+/-,AST,STL,BLK,Date,Game,1st Qtr H,2nd Qtr H,3rd Qtr H,4th Qtr H,1st Qtr A,2nd Qtr A,3rd Qtr A,4th Qtr A,Total H,Total A,Ref1,Ref2,Ref3,W/L,Home,Away,Fantasy Score,Season_Year
Dario Saric,0,0,4,3,5,6,0,37.5,8,0,0,0,3,6,6,22:54,-4,1,0,0,16-Oct-18,1,21,21,24,21,21,26,30,28,105,87,"Foster""""","Garretson""""",Taylor,BOSTON,PHI,BOS,10.5,2019
Robert Covington,0,28.6,7,2,1,6,2,30,10,1,0,0,3,5,8,34:13:00,-11,0,1,2,16-Oct-18,1,21,21,24,21,21,26,30,28,105,87,"Foster""""","Garretson""""",Taylor,BOSTON,PHI,BOS,25,2019
Joel Embiid,4,25,4,5,3,10,1,42.9,21,2,80,5,9,8,23,36:49:00,-8,2,2,1,16-Oct-18,1,21,21,24,21,21,26,30,28,105,87,"Foster""""","Garretson""""",Taylor,BOSTON,PHI,BOS,38,2019
Markelle Fultz,1,0,0,3,1,3,0,28.6,7,0,50,2,2,3,5,24:20:00,-16,2,0,1,16-Oct-18,1,21,21,24,21,21,26,30,28,105,87,"Foster""""","Garretson""""",Taylor,BOSTON,PHI,BOS,10,2019
Ben Simmons,5,0,0,3,5,15,0,50,14,3,50,10,7,12,19,42:44:00,-8,8,2,4,16-Oct-18,1,21,21,24,21,21,26,30,28,105,87,"Foster""""","Garretson""""",Taylor,BOSTON,PHI,BOS,56,2019
Amir Johnson,3,0,0,0,1,3,0,100,1,0,75,4,1,3,5,11:11,-10,1,0,0,16-Oct-18,1,21,21,24,21,21,26,30,28,105,87,"Foster""""","Garretson""""",Taylor,BOSTON,PHI,BOS,6.5,2019
JJ Redick,0,25,8,0,1,2,2,41.2,17,0,0,0,7,2,16,29:46:00,-10,1,0,0,16-Oct-18,1,21,21,24,21,21,26,30,28,105,87,"Foster""""","Garretson""""",Taylor,BOSTON,PHI,BOS,23.5,2019
TJ McConnell,0,0,1,0,3,1,0,40,5,0,0,0,2,1,4,22:26,-11,3,0,0,16-Oct-18,1,21,21,24,21,21,26,30,28,105,87,"Foster""""","Garretson""""",Taylor,BOSTON,PHI,BOS,9.5,2019
Landry Shamet,1,0,2,0,0,1,0,0,4,0,50,2,0,1,1,12:43,-8,0,0,0,16-Oct-18,1,21,21,24,21,21,26,30,28,105,87,"Foster""""","Garretson""""",Taylor,BOSTON,PHI,BOS,1,2019
Jonah Bolden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:27,-2,0,0,0,16-Oct-18,1,21,21,24,21,21,26,30,28,105,87,"Foster""""","Garretson""""",Taylor,BOSTON,PHI,BOS,0,2019
Furkan Korkmaz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:27,-2,0,0,0,16-Oct-18,1,21,21,24,21,21,26,30,28,105,87,"Foster""""","Garretson""""",Taylor,BOSTON,PHI,BOS,0,2019
Demetrius Jackson,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,16-Oct-18,1,21,21,24,21,21,26,30,28,105,87,"Foster""""","Garretson""""",Taylor,BOSTON,PHI,BOS,NA,2019
Shake Milton,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,16-Oct-18,1,21,21,24,21,21,26,30,28,105,87,"Foster""""","Garretson""""",Taylor,BOSTON,PHI,BOS,NA,2019
Jayson Tatum,4,20,5,1,2,9,1,52.9,17,2,80,5,9,7,23,28:56:00,6,3,0,1,16-Oct-18,1,21,21,24,21,21,26,30,28,105,87,"Foster""""","Garretson""""",Taylor,BOSTON,PHI,BOS,36.5,2019
Gordon Hayward,1,33.3,3,0,1,5,1,33.3,12,2,50,2,4,3,10,24:37:00,10,0,0,4,16-Oct-18,1,21,21,24,21,21,26,30,28,105,87,"Foster""""","Garretson""""",Taylor,BOSTON,PHI,BOS,28,2019
Al Horford,1,0,1,3,1,4,0,57.1,7,0,100,1,4,4,9,29:57:00,9,2,4,0,16-Oct-18,1,21,21,24,21,21,26,30,28,105,87,"Foster""""","Garretson""""",Taylor,BOSTON,PHI,BOS,24,2019
Jaylen Brown,1,33.3,3,2,4,5,1,38.5,13,3,50,2,5,2,12,28:23:00,11,2,0,0,16-Oct-18,1,21,21,24,21,21,26,30,28,105,87,"Foster""""","Garretson""""",Taylor,BOSTON,PHI,BOS,19,2019
Kyrie Irving,2,12.5,8,3,1,4,1,14.3,14,0,100,2,2,4,7,29:00:00,9,7,0,0,16-Oct-18,1,21,21,24,21,21,26,30,28,105,87,"Foster""""","Garretson""""",Taylor,BOSTON,PHI,BOS,18.5,2019
Marcus Morris,0,28.6,7,1,5,10,2,58.3,12,2,0,0,7,8,16,20:30,3,0,0,2,16-Oct-18,1,21,21,24,21,21,26,30,28,105,87,"Foster""""","Garretson""""",Taylor,BOSTON,PHI,BOS,35,2019
Terry Rozier,0,50,2,1,0,8,1,50,10,0,0,0,5,8,11,26:31:00,22,1,1,0,16-Oct-18,1,21,21,24,21,21,26,30,28,105,87,"Foster""""","Garretson""""",Taylor,BOSTON,PHI,BOS,24.5,2019
Marcus Smart,1,50,4,2,2,3,2,50,4,0,50,2,2,3,7,25:00:00,3,3,0,0,16-Oct-18,1,21,21,24,21,21,26,30,28,105,87,"Foster""""","Garretson""""",Taylor,BOSTON,PHI,BOS,15.5,2019
Aron Baynes,0,50,4,1,3,4,2,42.9,7,3,0,0,3,1,8,19:14,8,3,0,0,16-Oct-18,1,21,21,24,21,21,26,30,28,105,87,"Foster""""","Garretson""""",Taylor,BOSTON,PHI,BOS,19.5,2019
Daniel Theis,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,4:08,3,0,0,0,16-Oct-18,1,21,21,24,21,21,26,30,28,105,87,"Foster""""","Garretson""""",Taylor,BOSTON,PHI,BOS,1,2019
Semi Ojeleye,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1:27,2,0,0,0,16-Oct-18,1,21,21,24,21,21,26,30,28,105,87,"Foster""""","Garretson""""",Taylor,BOSTON,PHI,BOS,1,2019
Guerschon Yabusele,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:27,2,0,0,0,16-Oct-18,1,21,21,24,21,21,26,30,28,105,87,"Foster""""","Garretson""""",Taylor,BOSTON,PHI,BOS,0,2019
Brad Wanamaker,0,0,0,0,0,1,0,100,1,0,0,0,1,1,2,0:50,2,0,0,0,16-Oct-18,1,21,21,24,21,21,26,30,28,105,87,"Foster""""","Garretson""""",Taylor,BOSTON,PHI,BOS,3,2019
Paul George,5,33.3,12,5,3,2,4,39.1,23,0,62.5,8,9,2,27,37:24:00,-16,5,0,4,16-Oct-18,2,23,24,32,21,31,26,26,25,108,100,"Zarba""""","Forte""""",Petraitis,GOLDEN,OKC,GSW,46.5,2019
Patrick Patterson,2,25,4,1,0,5,1,22.2,9,3,66.7,3,2,2,7,18:54,3,0,1,1,16-Oct-18,2,23,24,32,21,31,26,26,25,108,100,"Zarba""""","Forte""""",Petraitis,GOLDEN,OKC,GSW,17,2019
Steven Adams,5,0,0,2,3,11,0,50,12,4,62.5,8,6,7,17,35:36:00,-6,4,0,2,16-Oct-18,2,23,24,32,21,31,26,26,25,108,100,"Zarba""""","Forte""""",Petraitis,GOLDEN,OKC,GSW,33,2019
Terrance Ferguson,0,0,2,1,3,4,0,0,2,2,0,0,0,2,0,26:30:00,0,1,0,0,16-Oct-18,2,23,24,32,21,31,26,26,25,108,100,"Zarba""""","Forte""""",Petraitis,GOLDEN,OKC,GSW,4.5,2019
Dennis Schroder,5,33.3,6,3,4,8,2,36.8,19,2,83.3,6,7,6,21,34:05:00,-7,6,1,3,16-Oct-18,2,23,24,32,21,31,26,26,25,108,100,"Zarba""""","Forte""""",Petraitis,GOLDEN,OKC,GSW,46,2019
Jerami Grant,2,25,4,0,1,2,1,28.6,7,2,50,4,2,0,7,29:06:00,-11,2,3,0,16-Oct-18,2,23,24,32,21,31,26,26,25,108,100,"Zarba""""","Forte""""",Petraitis,GOLDEN,OKC,GSW,21,2019
Alex Abrines,0,33.3,6,0,2,2,2,37.5,8,0,0,0,3,2,8,23:29,-5,0,0,0,16-Oct-18,2,23,24,32,21,31,26,26,25,108,100,"Zarba""""","Forte""""",Petraitis,GOLDEN,OKC,GSW,14,2019
Raymond Felton,4,0,3,2,0,3,0,20,5,0,80,5,1,3,6,13:55,-1,1,0,0,16-Oct-18,2,23,24,32,21,31,26,26,25,108,100,"Zarba""""","Forte""""",Petraitis,GOLDEN,OKC,GSW,4.5,2019
Nerlens Noel,1,0,0,0,3,7,0,50,2,3,50,2,1,4,3,12:24,-2,1,1,1,16-Oct-18,2,23,24,32,21,31,26,26,25,108,100,"Zarba""""","Forte""""",Petraitis,GOLDEN,OKC,GSW,16.5,2019
Hamidou Diallo,0,0,0,0,2,1,0,50,4,0,0,1,2,1,4,8:37,5,1,0,1,16-Oct-18,2,23,24,32,21,31,26,26,25,108,100,"Zarba""""","Forte""""",Petraitis,GOLDEN,OKC,GSW,9.5,2019
Deonte Burton,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,16-Oct-18,2,23,24,32,21,31,26,26,25,108,100,"Zarba""""","Forte""""",Petraitis,GOLDEN,OKC,GSW,NA,2019
Timothe LuwawuCabarrot,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,16-Oct-18,2,23,24,32,21,31,26,26,25,108,100,"Zarba""""","Forte""""",Petraitis,GOLDEN,OKC,GSW,NA,2019
Abdel Nader,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,16-Oct-18,2,23,24,32,21,31,26,26,25,108,100,"Zarba""""","Forte""""",Petraitis,GOLDEN,OKC,GSW,NA,2019
Kevin Durant,9,0,5,3,4,8,0,42.9,21,1,90,10,9,7,27,37:43:00,14,6,1,1,16-Oct-18,2,23,24,32,21,31,26,26,25,108,100,"Zarba""""","Forte""""",Petraitis,GOLDEN,OKC,GSW,38,2019
Draymond Green,0,0,1,6,3,13,0,16.7,6,1,0,0,1,12,2,32:45:00,2,5,0,3,16-Oct-18,2,23,24,32,21,31,26,26,25,108,100,"Zarba""""","Forte""""",Petraitis,GOLDEN,OKC,GSW,25.5,2019
Damian Jones,0,0,0,2,4,3,0,85.7,7,2,0,0,6,1,12,26:33:00,-1,2,3,0,16-Oct-18,2,23,24,32,21,31,26,26,25,108,100,"Zarba""""","Forte""""",Petraitis,GOLDEN,OKC,GSW,25,2019
Klay Thompson,3,12.5,8,2,3,4,1,25,20,1,100,3,5,3,14,34:59:00,2,0,0,0,16-Oct-18,2,23,24,32,21,31,26,26,25,108,100,"Zarba""""","Forte""""",Petraitis,GOLDEN,OKC,GSW,15,2019
Stephen Curry,5,55.6,9,3,4,8,5,55,20,0,100,5,11,8,32,36:37:00,15,9,0,1,16-Oct-18,2,23,24,32,21,31,26,26,25,108,100,"Zarba""""","Forte""""",Petraitis,GOLDEN,OKC,GSW,58.5,2019
Kevon Looney,0,0,0,1,4,10,0,45.5,11,8,0,0,5,2,10,18:04,23,2,2,1,16-Oct-18,2,23,24,32,21,31,26,26,25,108,100,"Zarba""""","Forte""""",Petraitis,GOLDEN,OKC,GSW,31,2019
Andre Iguodala,0,0,1,0,0,2,0,50,2,0,0,0,1,2,2,10:23,2,2,0,0,16-Oct-18,2,23,24,32,21,31,26,26,25,108,100,"Zarba""""","Forte""""",Petraitis,GOLDEN,OKC,GSW,7,2019
Quinn Cook,0,100,1,2,2,2,1,50,2,1,0,0,1,1,3,13:12,-7,1,0,0,16-Oct-18,2,23,24,32,21,31,26,26,25,108,100,"Zarba""""","Forte""""",Petraitis,GOLDEN,OKC,GSW,6.5,2019
Shaun Livingston,0,0,0,1,2,3,0,60,5,2,0,0,3,1,6,14:34,-3,1,0,1,16-Oct-18,2,23,24,32,21,31,26,26,25,108,100,"Zarba""""","Forte""""",Petraitis,GOLDEN,OKC,GSW,12.5,2019
Jordan Bell,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,6:39,-6,0,1,0,16-Oct-18,2,23,24,32,21,31,26,26,25,108,100,"Zarba""""","Forte""""",Petraitis,GOLDEN,OKC,GSW,5,2019
