n,FTM,3P%,3PA,TOV,PF,REB,3PM,FG%,FGA,OREB,FT%,FTA,FGM,DREB,PTS,MIN,+/-,AST,STL,BLK,Date,Game,1st Qtr H,2nd Qtr H,3rd Qtr H,4th Qtr H,1st Qtr A,2nd Qtr A,3rd Qtr A,4th Qtr A,Total H,Total A,Ref1,Ref2,Ref3,W/L,Home,Away,Fantasy Score
Kevin Durant,10,33.3,6,3,0,8,2,55,20,0,90.9,11,11,8,34,39:08:00,-2,6,1,1,28-Oct-18,82,32,31,30,27,29,20,28,37,114,120,"Corbin""""","Richardson""""",Ford,GOLDEN,GSW,BKN,48
Draymond Green,0,0,3,1,1,4,0,44.4,9,1,0,0,4,3,8,36:19:00,-8,13,0,5,28-Oct-18,82,32,31,30,27,29,20,28,37,114,120,"Corbin""""","Richardson""""",Ford,GOLDEN,GSW,BKN,45.5
Damian Jones,0,0,0,2,4,1,0,33.3,3,1,0,0,1,0,2,11:35,-6,1,2,1,28-Oct-18,82,32,31,30,27,29,20,28,37,114,120,"Corbin""""","Richardson""""",Ford,GOLDEN,GSW,BKN,11.5
Klay Thompson,1,20,5,1,4,5,1,47.1,17,2,50,2,8,3,18,35:35:00,-5,0,1,1,28-Oct-18,82,32,31,30,27,29,20,28,37,114,120,"Corbin""""","Richardson""""",Ford,GOLDEN,GSW,BKN,29
Stephen Curry,6,46.7,15,2,1,7,7,42.3,26,1,85.7,7,11,6,35,36:16:00,11,3,0,1,28-Oct-18,82,32,31,30,27,29,20,28,37,114,120,"Corbin""""","Richardson""""",Ford,GOLDEN,GSW,BKN,55.5
Kevon Looney,0,0,0,2,1,3,0,66.7,3,2,0,0,2,1,4,12:25,11,0,0,0,28-Oct-18,82,32,31,30,27,29,20,28,37,114,120,"Corbin""""","Richardson""""",Ford,GOLDEN,GSW,BKN,5
Jacob Evans,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6:27,5,0,0,0,28-Oct-18,82,32,31,30,27,29,20,28,37,114,120,"Corbin""""","Richardson""""",Ford,GOLDEN,GSW,BKN,0
Jonas Jerebko,4,0,1,0,0,6,0,0,2,0,100,4,0,6,4,15:21,7,2,0,0,28-Oct-18,82,32,31,30,27,29,20,28,37,114,120,"Corbin""""","Richardson""""",Ford,GOLDEN,GSW,BKN,9
Andre Iguodala,0,0,1,0,2,5,0,66.7,3,3,0,0,2,2,4,19:52,3,2,1,1,28-Oct-18,82,32,31,30,27,29,20,28,37,114,120,"Corbin""""","Richardson""""",Ford,GOLDEN,GSW,BKN,18
Alfonzo McKinnie,0,50,2,1,2,5,1,80,5,1,0,0,4,4,9,16:53,12,0,1,1,28-Oct-18,82,32,31,30,27,29,20,28,37,114,120,"Corbin""""","Richardson""""",Ford,GOLDEN,GSW,BKN,21
Jordan Bell,0,0,0,0,0,3,0,100,1,1,0,0,1,2,2,10:09,2,1,1,0,28-Oct-18,82,32,31,30,27,29,20,28,37,114,120,"Corbin""""","Richardson""""",Ford,GOLDEN,GSW,BKN,9.5
Quinn Cook,NA,NA,NA,NA,NA,NA,NA,DECISION,COACH'S,NA,NA,NA,,NA,NA,DNP,NA,NA,NA,NA,28-Oct-18,82,32,31,30,27,29,20,28,37,114,120,"Corbin""""","Richardson""""",Ford,GOLDEN,GSW,BKN,NA
