Name,FTM,3P%,3PA,TOV,PF,REB,3PM,FG%,FGA,OREB,FT%,FTA,FGM,DREB,PTS,MIN,+/-,AST,STL,BLK,Date,Game,1st Qtr H,2nd Qtr H,3rd Qtr H,4th Qtr H,1st Qtr A,2nd Qtr A,3rd Qtr A,4th Qtr A,Total H,Total A,Ref1,Ref2,Ref3,W/L,Home,Away,Fantasy Score,Season_Year,Years,Pos,Ht,Wt
Alex Abrines,2,0,3,0,2,1,0,0,5,0,100,2,0,1,2,24:20:00,-1,0,0,2,28-Oct-18,84,20,28,28,34,30,32,34,21,117,110,"Brothers""","Taylor""",Twardoski,OKLAHOMA,PHX,OKC,7,2019,3,G-F,6-Jun,190
Alex Abrines,0,100,1,1,5,0,1,50,2,0,0,0,1,0,3,15:10,-1,0,1,4,30-Oct-18,102,33,34,10,33,25,29,39,35,128,110,"Brown""","Forte""",Van,OKLAHOMA,LAC,OKC,19,2019,3,G-F,6-Jun,190
Alex Abrines,2,50,10,0,4,2,5,60,15,0,100,2,9,2,25,30:17:00,16,0,0,0,1-Nov-18,110,24,20,29,38,22,26,29,30,107,111,"Boland""","Zarba""",Nansel,OKLAHOMA,OKC,CHA,35,2019,3,G-F,6-Jun,190
Alex Abrines,0,28.6,7,0,3,1,2,37.5,8,0,0,0,3,1,8,24:28:00,27,2,2,0,2-Nov-18,118,35,44,31,24,30,20,35,26,111,134,"Capers""","Lindsay""",Smith,OKLAHOMA,OKC,WAS,22,2019,3,G-F,6-Jun,190
Steven Adams,2,0,0,1,1,10,0,53.3,15,4,50,4,8,6,18,37:33:00,25,2,1,3,30-Oct-18,102,33,34,10,33,25,29,39,35,128,110,"Brown""","Forte""",Van,OKLAHOMA,LAC,OKC,40,2019,6,C,Jul-00,255
Steven Adams,3,0,0,2,2,12,0,20,5,7,75,4,1,5,5,33:54:00,6,0,3,3,1-Nov-18,110,24,20,29,38,22,26,29,30,107,111,"Boland""","Zarba""",Nansel,OKLAHOMA,OKC,CHA,30,2019,6,C,Jul-00,255
Steven Adams,3,0,0,1,4,3,0,85.7,7,1,75,4,6,2,15,23:15,12,1,1,0,2-Nov-18,118,35,44,31,24,30,20,35,26,111,134,"Capers""","Lindsay""",Smith,OKLAHOMA,OKC,WAS,18.5,2019,6,C,Jul-00,255
Bam Adebayo,4,0,0,2,0,8,0,50,4,1,66.7,6,2,7,8,18:59,-6,0,0,1,29-Oct-18,88,17,34,43,29,28,23,32,30,113,123,"Fraher""","Blair""",Sterling,SACRAMENTO,SAC,MIA,13,2019,2,C-F,10-Jun,243
Bam Adebayo,0,0,0,0,3,6,0,80,5,2,0,0,4,4,8,15:29,0,2,0,0,30-Oct-18,95,29,26,18,40,31,34,27,33,125,113,"Wright""","Kogut""",Ransom,CHARLOTTE,MIA,CHA,17,2019,2,C-F,10-Jun,243
LaMarcus Aldridge,8,0,0,1,2,6,0,35.3,17,3,100,8,6,3,20,39:58:00,-7,4,0,1,29-Oct-18,93,18,27,29,28,20,33,23,26,113,108,"Kirkland""","Barnaky""",Goldenberg,SAN,DAL,SAS,26,2019,13,F-C,11-Jun,260
LaMarcus Aldridge,4,0,0,3,3,3,0,76.9,13,1,100,4,10,2,24,23:46,11,1,1,0,31-Oct-18,109,28,32,34,26,15,24,27,24,90,120,"Mauer""","Dalen""",Buchert,SAN,SAS,PHX,24.5,2019,13,F-C,11-Jun,260
Jarrett Allen,1,0,0,1,0,3,0,83.3,6,0,50,2,5,3,11,28:50:00,14,4,2,1,28-Oct-18,82,32,31,30,27,29,20,28,37,114,120,"Corbin""","Richardson""",Ford,GOLDEN,GSW,BKN,27,2019,2,F-C,10-Jun,234
Jarrett Allen,3,0,1,0,2,6,0,33.3,6,2,75,4,2,4,7,20:29,-15,3,2,0,29-Oct-18,89,26,18,23,29,26,26,33,30,115,96,"Ayotte""","Guthrie""",Goble,NEW,BKN,NYK,20.5,2019,2,F-C,10-Jun,234
Jarrett Allen,2,0,0,2,6,9,0,75,8,4,40,5,6,5,14,21:34,3,1,0,0,31-Oct-18,103,22,38,23,27,28,26,23,33,120,119,"Smith""","Williams""",Smith,BROOKLYN,DET,BKN,20.5,2019,2,F-C,10-Jun,234
Jarrett Allen,2,0,2,1,2,8,0,50,8,1,50,4,4,7,10,26:52:00,-9,0,1,0,2-Nov-18,117,25,31,35,28,32,29,25,25,111,119,"Malloy""","Maddox""",Adair,HOUSTON,HOU,BKN,18,2019,2,F-C,10-Jun,234
Kyle Anderson,1,0,0,1,1,11,0,66.7,3,3,50,2,2,8,5,28:16:00,10,3,0,4,30-Oct-18,101,24,21,27,23,22,24,32,29,107,95,"Collins""","Lewis""",Petraitis,MEMPHIS,WAS,MEM,30.5,2019,5,F-G,9-Jun,230
Kyle Anderson,2,0,0,1,3,6,0,0,4,2,50,4,0,4,2,31:18:00,3,3,0,0,2-Nov-18,121,29,24,30,27,31,29,18,22,100,110,"Mauer""","Buchert""",Acosta,MEMPHIS,MEM,UTA,9.5,2019,5,F-G,9-Jun,230
Ryan Anderson,6,25,4,2,1,5,1,40,10,2,100,6,4,3,15,30:56:00,-3,0,0,1,28-Oct-18,84,20,28,28,34,30,32,34,21,117,110,"Brothers""","Taylor""",Twardoski,OKLAHOMA,PHX,OKC,17,2019,11,F,10-Jun,240
