Player,Years,Pos,Ht,Wt
Alize Johnson,1,F,6.09,250
Alize Johnson,1,F,6.09,250
Alize Johnson,1,F,6.09,250
Chandler Hutchison,1,G-F,6.07,225
Chandler Hutchison,1,G-F,6.07,225
Chandler Hutchison,1,G-F,6.07,225
Chandler Hutchison,1,G-F,6.07,225
Chimezie Metu,1,F,6.1,245
Chimezie Metu,1,F,6.1,245
CJ Williams,3,G,5-Jun,225
CJ Williams,3,G,5-Jun,225
Daryl Macon,1,G,6.03,185
DeAnthony Melton,1,G,6.04,190
Deonte Burton,2,F,6.05,245
Deonte Burton,2,F,6.05,245
DeVaughn AkoonPurcell,3,G,6.06,201
Devonte Graham,1,G,6.02,185
Devonte Graham,1,G,6.02,185
Drew Eubanks,1,F,6.1,225
Drew Eubanks,1,F,6.1,225
Duncan Robinson,1,F,6.08,225
Dzanan Musa,1,F,6.09,215
Dzanan Musa,1,F,6.09,215
Grayson Allen,1,G,6.05,200
Grayson Allen,1,G,6.05,200
Grayson Allen,1,G,6.05,200
Isaiah Briscoe,2,G,6.03,200
Isaiah Briscoe,2,G,6.03,200
Isaiah Briscoe,2,G,6.03,200
Jacob Evans,1,G,6.06,209
Jacob Evans,1,G,6.06,209
Jacob Evans,1,G,6.06,209
Johnathan Williams,1,G,6.09,228
Johnathan Williams,1,G,6.09,228
Johnathan Williams,1,G,6.09,228
Johnathan Williams,1,G,6.09,228
Josh Okogie,1,G,6.04,205
Josh Okogie,1,G,6.04,205
Josh Okogie,1,G,6.04,205
Josh Okogie,1,G,6.04,205
JR Smith,16,G-F,6-Jun,225
JR Smith,16,G-F,6-Jun,225
JR Smith,16,G-F,6-Jun,225
JR Smith,16,G-F,6-Jun,225
Keita BatesDiop,1,F,6.09,230
Robert Williams,1,F,6.1,235
Robert Williams,1,F,6.1,235
Rondae HollisJefferson,5,F,7-Jun,220
Rondae HollisJefferson,5,F,7-Jun,220
Svi Mykhailiuk,1,G,6.08,225
Svi Mykhailiuk,1,G,6.08,225
Svi Mykhailiuk,1,G,6.08,225
Svi Mykhailiuk,1,G,6.08,225
Theo Pinson,1,F,6.06,225
Theo Pinson,1,F,6.06,225
Thomas Welsh,1,C,7,240
Thomas Welsh,1,C,7,240
Wendell Carter,1,C-F,6-Jan,245
Wendell Carter,1,C-F,6-Jan,245
Wendell Carter,1,C-F,6-Jan,245
Wendell Carter,1,C-F,6-Jan,245
Wendell Carter,1,C-F,6-Jan,245
Wes Iwundu,2,G-F,6.07,230
Wes Iwundu,2,G-F,6.07,230
Wes Iwundu,2,G-F,6.07,230
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
=======,,,,
﻿Player,,,,
Alex,,,,
Steven,,,,
Bam,,,,
Bam,,,,
LaMarcus,,,,
Jarrett,,,,
Kyle,,,,
Ryan,,,,
Giannis,,,,
Carmelo,,,,
OG,,,,
Ryan,,,,
Trevor,,,,
Ron,,,,
Lonzo,,,,
Will,,,,
Nicolas,,,,
Aron,,,,
Kent,,,,
Bradley,,,,
Malik,,,,
Michael,,,,
Marco,,,,
Jordan,,,,
Davis,,,,
Patrick,,,,
Nemanja,,,,
Antonio,,,,
Eric,,,,
Bojan,,,,
Devin,,,,
Avery,,,,
Malcolm,,,,
Dillon,,,,
MarShon,,,,
Jaylen,,,,
Lorenzo,,,,
Sterling,,,,
Trey,,,,
Alec,,,,
Jimmy,,,,
Isaiah,,,,
Clint,,,,
Vince,,,,
Tyson,,,,
Jordan,,,,
Zach,,,,
Darren,,,,
Mike,,,,
Quinn,,,,
Robert,,,,
Robert,,,,
Jae,,,,
Dante,,,,
Stephen,,,,
Troy,,,,
Anthony,,,,
Ed,,,,
Sam,,,,
DeMar,,,,
Cheick,,,,
Gorgui,,,,
Spencer,,,,
Tyler,,,,
Goran,,,,
Goran,,,,
Andre,,,,
Jared,,,,
Kevin,,,,
Joel,,,,
Joel,,,,
James,,,,
Tyreke,,,,
Dante,,,,
Derrick,,,,
Raymond,,,,
Terrance,,,,
Yogi,,,,
Bryn,,,,
Evan,,,,
Markelle,,,,
Markelle,,,,
Danilo,,,,
Langston,,,,
Marc,,,,
Pau,,,,
Rudy,,,,
Paul,,,,
Taj,,,,
Rudy,,,,
Aaron,,,,
Eric,,,,
Marcin,,,,
Treveon,,,,
Jerami,,,,
Jerian,,,,
Danny,,,,
Draymond,,,,
Gerald,,,,
JaMychal,,,,
Jeff,,,,
Blake,,,,
Tim,,,,
James,,,,
Maurice,,,,
Montrezl,,,,
Devin,,,,
Gary,,,,
Joe,,,,
Tobias,,,,
Josh,,,,
Gordon,,,,
John,,,,
Willy,,,,
Mario,,,,
Buddy,,,,
George,,,,
Solomon,,,,
Jrue,,,,
Justin,,,,
John,,,,
Rodney,,,,
Al,,,,
Serge,,,,
Andre,,,,
Ersan,,,,
Joe,,,,
Brandon,,,,
Kyrie,,,,
Jonathan,,,,
Josh,,,,
Justin,,,,
Reggie,,,,
LeBron,,,,
Jonas,,,,
Amir,,,,
Amir,,,,
Tyler,,,,
Tyler,,,,
Nikola,,,,
Damian,,,,
Derrick,,,,
Derrick,,,,
Tyus,,,,
DeAndre,,,,
Cory,,,,
Enes,,,,
Luke,,,,
Maxi,,,,
Furkan,,,,
Furkan,,,,
Kyle,,,,
Kyle,,,,
Jeremy,,,,
Zach,,,,
Jake,,,,
Alex,,,,
Kawhi,,,,
Meyers,,,,
Caris,,,,
Damian,,,,
Jeremy,,,,
Shaun,,,,
Kevon,,,,
Brook,,,,
Robin,,,,
Kevin,,,,
Kyle,,,,
Trey,,,,
Shelvin,,,,
Ian,,,,
Boban,,,,
Frank,,,,
Wesley,,,,
CJ,,,,
Doug,,,,
JaVale,,,,
Rodney,,,,
Rodney,,,,
Alfonzo,,,,
Khris,,,,
Darius,,,,
Patty,,,,
Paul,,,,
Nikola,,,,
Donovan,,,,
Malik,,,,
Marcus,,,,
Markieff,,,,
Monte,,,,
Jamal,,,,
Georges,,,,
Nerlens,,,,
Frank,,,,
Jusuf,,,,
David,,,,
Semi,,,,
Jahlil,,,,
Victor,,,,
Kelly,,,,
Kelly,,,,
Cedi,,,,
Kelly,,,,
Zaza,,,,
Jabari,,,,
Tony,,,,
Chandler,,,,
Patrick,,,,
Chris,,,,
