,FTM,3P%,3PA,TOV,PF,REB,3PM,FG%,FGA,OREB,FT%,FTA,FGM,DREB,PTS,MIN,+/-,AST,STL,BLK,Date,Game,1st Qtr H,2nd Qtr H,3rd Qtr H,4th Qtr H,1st Qtr A,2nd Qtr A,3rd Qtr A,4th Qtr A,Total H,Total A,Ref1,Ref2,Ref3,W/L,Home,Away,Fantasy Score
Richaun Holmes,NA,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,Holmes,NA,NA,Richaun,NA,NA,NA,NA,"DEC 12, 2017",401,20,28,26,26,27,24,25,24,112,118,"Fraher""""","Guthrie""""",Twardoski,PHILADELPHIA,PHI,MIN,NA
Joel Embiid,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,NA,NA,Embiid,NA,NA,Joel,NA,NA,NA,NA,"DEC 12, 2017",401,20,28,26,26,27,24,25,24,112,118,"Fraher""""","Guthrie""""",Twardoski,PHILADELPHIA,PHI,MIN,NA
JJ Redick,NA,NA,NA,NA,NA,NA,NA,NA,G,NA,NA,NA,Redick,NA,NA,JJ,NA,NA,NA,NA,"DEC 12, 2017",401,20,28,26,26,27,24,25,24,112,118,"Fraher""""","Guthrie""""",Twardoski,PHILADELPHIA,PHI,MIN,NA
Ben Simmons,NA,NA,NA,NA,NA,NA,NA,NA,G,NA,NA,NA,Simmons,NA,NA,Ben,NA,NA,NA,NA,"DEC 12, 2017",401,20,28,26,26,27,24,25,24,112,118,"Fraher""""","Guthrie""""",Twardoski,PHILADELPHIA,PHI,MIN,NA
TJ McConnell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,McConnell,NA,NA,TJ,NA,NA,NA,NA,"DEC 12, 2017",401,20,28,26,26,27,24,25,24,112,118,"Fraher""""","Guthrie""""",Twardoski,PHILADELPHIA,PHI,MIN,NA
Amir Johnson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Johnson,NA,NA,Amir,NA,NA,NA,NA,"DEC 12, 2017",401,20,28,26,26,27,24,25,24,112,118,"Fraher""""","Guthrie""""",Twardoski,PHILADELPHIA,PHI,MIN,NA
Trevor Booker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Booker,NA,NA,Trevor,NA,NA,NA,NA,"DEC 12, 2017",401,20,28,26,26,27,24,25,24,112,118,"Fraher""""","Guthrie""""",Twardoski,PHILADELPHIA,PHI,MIN,NA
Jerryd Bayless,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bayless,NA,NA,Jerryd,NA,NA,NA,NA,"DEC 12, 2017",401,20,28,26,26,27,24,25,24,112,118,"Fraher""""","Guthrie""""",Twardoski,PHILADELPHIA,PHI,MIN,NA
Timothe LuwawuCabarrot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LuwawuCabarrot,NA,NA,Timothe,NA,NA,NA,NA,"DEC 12, 2017",401,20,28,26,26,27,24,25,24,112,118,"Fraher""""","Guthrie""""",Twardoski,PHILADELPHIA,PHI,MIN,NA
Robert Covington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Covington,NA,NA,Robert,NA,NA,NA,NA,"DEC 12, 2017",401,20,28,26,26,27,24,25,24,112,118,"Fraher""""","Guthrie""""",Twardoski,PHILADELPHIA,PHI,MIN,NA
Furkan Korkmaz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Korkmaz,NA,NA,Furkan,NA,NA,NA,NA,"DEC 12, 2017",401,20,28,26,26,27,24,25,24,112,118,"Fraher""""","Guthrie""""",Twardoski,PHILADELPHIA,PHI,MIN,NA
James Michael,NA,NA,NA,NA,NA,NA,NA,NA,McAdoo,NA,NA,NA,Michael,NA,NA,James,NA,NA,NA,NA,"DEC 12, 2017",401,20,28,26,26,27,24,25,24,112,118,"Fraher""""","Guthrie""""",Twardoski,PHILADELPHIA,PHI,MIN,NA
Andrew Wiggins,NA,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,Wiggins,NA,NA,Andrew,NA,NA,NA,NA,"DEC 12, 2017",401,20,28,26,26,27,24,25,24,112,118,"Fraher""""","Guthrie""""",Twardoski,PHILADELPHIA,PHI,MIN,NA
Taj Gibson,NA,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,Gibson,NA,NA,Taj,NA,NA,NA,NA,"DEC 12, 2017",401,20,28,26,26,27,24,25,24,112,118,"Fraher""""","Guthrie""""",Twardoski,PHILADELPHIA,PHI,MIN,NA
