,FTM,3P%,3PA,TOV,PF,REB,3PM,FG%,FGA,OREB,FT%,FTA,FGM,DREB,PTS,MIN,+/-,AST,STL,BLK,Date,Game,1st Qtr H,2nd Qtr H,3rd Qtr H,4th Qtr H,1st Qtr A,2nd Qtr A,3rd Qtr A,4th Qtr A,Total H,Total A,Ref1,Ref2,Ref3,W/L,Home,Away,Fantasy Score
ETwaun Moore,2,25.0,4,1,3,3,1,33.3,12,1,100,2,4,2,11,32:53,10,3,0,1,"JAN 24, 2018",701,32,24,20,25,21,32,20,23,96,101,"DeRosa""""","Guthrie""""",Tiven,NEW,NOP,CHA,20.5
Anthony Davis,5,0.0,0,1,3,6,0,43.8,16,1,100,5,7,5,19,36:42,4,4,2,3,"JAN 24, 2018",701,32,24,20,25,21,32,20,23,96,101,"DeRosa""""","Guthrie""""",Tiven,NEW,NOP,CHA,40.0
DeMarcus Cousins,4,40.0,5,8,4,13,2,50.0,10,1,57.1,7,5,12,16,29:59,-2,5,5,1,"JAN 24, 2018",701,32,24,20,25,21,32,20,23,96,101,"DeRosa""""","Guthrie""""",Tiven,NEW,NOP,CHA,46.5
Jrue Holiday,3,0.0,3,1,2,5,0,53.3,15,1,75.0,4,8,4,19,34:18,12,4,1,0,"JAN 24, 2018",701,32,24,20,25,21,32,20,23,96,101,"DeRosa""""","Guthrie""""",Tiven,NEW,NOP,CHA,29.0
Rajon Rondo,0,50.0,2,3,1,1,1,50.0,8,1,0.0,0,4,0,9,15:17,-1,5,1,0,"JAN 24, 2018",701,32,24,20,25,21,32,20,23,96,101,"DeRosa""""","Guthrie""""",Tiven,NEW,NOP,CHA,19.5
Dante Cunningham,0,100,1,0,1,7,1,57.1,7,1,0.0,0,4,6,9,21:27,10,0,0,1,"JAN 24, 2018",701,32,24,20,25,21,32,20,23,96,101,"DeRosa""""","Guthrie""""",Tiven,NEW,NOP,CHA,21.0
Darius Miller,0,40.0,5,0,2,3,2,42.9,7,1,0.0,0,3,2,8,31:06,6,2,0,0,"JAN 24, 2018",701,32,24,20,25,21,32,20,23,96,101,"DeRosa""""","Guthrie""""",Tiven,NEW,NOP,CHA,18.0
Ian Clark,0,0.0,1,0,1,0,0,20.0,5,0,0.0,0,1,0,2,12:15,-5,1,0,0,"JAN 24, 2018",701,32,24,20,25,21,32,20,23,96,101,"DeRosa""""","Guthrie""""",Tiven,NEW,NOP,CHA,3.5
Jameer Nelson,0,40.0,5,0,2,1,2,42.9,7,0,0.0,0,3,1,8,16:34,-7,2,0,0,"JAN 24, 2018",701,32,24,20,25,21,32,20,23,96,101,"DeRosa""""","Guthrie""""",Tiven,NEW,NOP,CHA,16.0
DeAndre Liggins,0,0.0,0,1,0,1,0,0.0,0,0,0.0,0,0,1,0,5:17,-3,0,1,0,"JAN 24, 2018",701,32,24,20,25,21,32,20,23,96,101,"DeRosa""""","Guthrie""""",Tiven,NEW,NOP,CHA,3.0
