First Name,Height,Last Name,Position,Team
Ivica,7,Zubac,Center,lakers
Alex,6,Abrines,Guard,thunder
Quincy,6,Acy,Forward,nets
Steven,7,Adams,Center,thunder
Bam,6,Adebayo,Center-Forward,heat
Arron,6,Afflalo,Guard,magic
Alexis,7,Ajinca,Center,pelicans
Cole,6,Aldrich,Center,timberwolves
LaMarcus,6,Aldridge,Forward,spurs
Jarrett,6,Allen,Center,nets
Kadeem,6,Allen,Guard,celtics
Al-Farouq,6,Aminu,Forward,blazers
Justin,6,Anderson,Guard-Forward,sixers
Kyle,6,Anderson,Forward,spurs
Ryan,6,Anderson,Forward,rockets
Ike,6,Anigbogu,Center,pacers
Giannis,6,Antetokounmpo,Forward,bucks
Carmelo,6,Anthony,Forward,thunder
OG,6,Anunoby,Forward,raptors
Ryan,6,Arcidiacono,Guard,bulls
Trevor,6,Ariza,Forward-Guard,rockets
Darrell,6,Arthur,Forward,nuggets
Jamel,6,Artis,Guard,magic
Omer,7,Asik,Center,bulls
D.J.,6,Augustin,Guard,magic
Luke,6,Babbitt,Forward,heat
Dwayne,6,Bacon,Forward,hornets
Ron,6,Baker,Guard,knicks
Wade,6,Baldwin,Guard,blazers
Lonzo,6,Ball,Guard,lakers
J.J.,6,Barea,Guard,mavericks
Harrison,6,Barnes,Forward,mavericks
Will,6,Barton,Forward-Guard,nuggets
Nicolas,6,Batum,Guard-Forward,hornets
Jerryd,6,Bayless,Guard,sixers
Aron,6,Baynes,Center,celtics
Kent,6,Bazemore,Guard,hawks
Bradley,6,Beal,Guard,wizards
Malik,6,Beasley,Guard,nuggets
Michael,6,Beasley,Forward,knicks
Marco,6,Belinelli,Guard-Forward,sixers
Jordan,6,Bell,Center-Forward,warriors
'DeAndre''',6,Bembry,Forward-Guard,hawks
Dragan,7,Bender,Forward,suns
Davis,6,Bertans,Center-Forward,spurs
Patrick,6,Beverley,Guard,clippers
Khem,6,Birch,Center,magic
Jabari,6,Bird,Guard,celtics
Bismack,6,Biyombo,Center,magic
Nemanja,6,Bjelica,Forward,timberwolves
Tarik,6,Black,Forward-Center,rockets
Antonio,6,Blakeney,Guard,bulls
Eric,6,Bledsoe,Guard,bucks
Bogdan,6,Bogdanovic,Guard,kings
Bojan,6,Bogdanovic,Forward,pacers
Devin,6,Booker,Guard,suns
Trevor,6,Booker,Forward,pacers
Chris,6,Boucher,Forward,warriors
Avery,6,Bradley,Guard,clippers
Tony,6,Bradley,Center,jazz
Corey,6,Brewer,Guard-Forward,thunder
Malcolm,6,Brogdon,Guard,bucks
Aaron,6,Brooks,Guard,timberwolves
Dillon,6,Brooks,Forward-Guard,grizzlies
MarShon,6,Brooks,Guard-Forward,grizzlies
Anthony,6,Brown,Forward,timberwolves
Jaylen,6,Brown,Guard-Forward,celtics
Lorenzo,6,Brown,Guard,raptors
Markel,6,Brown,Guard,rockets
Sterling,6,Brown,Guard,bucks
Thomas,6,Bryant,Center,lakers
Reggie,6,Bullock,Guard-Forward,pistons
Trey,6,Burke,Guard,knicks
Alec,6,Burks,Guard,jazz
Jimmy,6,Butler,Guard,timberwolves
Dwight,6,Buycks,Guard,pistons
Bruno,6,Caboclo,Forward,kings
Jose,6,Calderon,Guard,cavaliers
Kentavious,6,Caldwell-Pope,Guard,lakers
Clint,6,Capela,Center,rockets
DeMarre,6,Carroll,Forward,nets
Michael,6,Carter-Williams,Guard,hornets
Vince,6,Carter,Guard-Forward,kings
Alex,6,Caruso,Guard,lakers
Willie,7,Cauley-Stein,Center,kings
Tyler,6,Cavanaugh,Forward,hawks
Mario,6,Chalmers,Guard,grizzlies
Tyson,7,Chandler,Center,suns
Wilson,6,Chandler,Forward,nuggets
Marquese,6,Chriss,Forward,suns
Ian,6,Clark,Guard,pelicans
Jordan,6,Clarkson,Guard,cavaliers
Antonius,6,Cleveland,Guard,hawks
John,6,Collins,Forward-Center,hawks
Kyle,6,Collinsworth,Guard,mavericks
Zach,7,Collins,Center-Forward,blazers
Darren,6,Collison,Guard,pacers
Nick,6,Collison,Forward,thunder
Mike,6,Conley,Guard,grizzlies
Pat,6,Connaughton,Guard-Forward,blazers
Charles,6,Cooke,Guard,pelicans
Quinn,6,Cook,Guard,warriors
Jack,6,Cooley,Center,kings
Matt,6,Costello,Forward-Center,spurs
DeMarcus,6,Cousins,Center,pelicans
Robert,6,Covington,Forward,sixers
Allen,6,Crabbe,Guard-Forward,nets
Torrey,6,Craig,Guard-Forward,nuggets
Jamal,6,Crawford,Guard,timberwolves
Jordan,6,Crawford,Guard,pelicans
Jae,6,Crowder,Forward,jazz
Dante,6,Cunningham,Forward,nets
Seth,6,Curry,Guard,mavericks
Stephen,6,Curry,Guard,warriors
Troy,6,Daniels,Guard,suns
Anthony,6,Davis,Forward-Center,pelicans
Deyonta,6,Davis,Center-Forward,grizzlies
Ed,6,Davis,Forward-Center,blazers
Dewayne,7,Dedmon,Center,hawks
Sam,6,Dekker,Forward,clippers
Malcolm,6,Delaney,Guard,hawks
Matthew,6,Dellavedova,Guard,bucks
Luol,6,Deng,Forward,lakers
DeMar,6,DeRozan,Guard,raptors
Cheick,6,Diallo,Forward,pelicans
Gorgui,6,Dieng,Center,timberwolves
Spencer,6,Dinwiddie,Guard,nets
Tyler,6,Dorsey,Guard,hawks
Damyean,6,Dotson,Guard,knicks
Milton,6,Doyle,Guard,nets
PJ,6,Dozier,Guard,thunder
Goran,6,Dragic,Guard,heat
Larry,6,Drew,Guard,pelicans
Andre,6,Drummond,Center,pistons
Jared,6,Dudley,Forward,suns
Kris,6,Dunn,Guard,bulls
Kevin,6,Durant,Forward,warriors
Jarell,6,Eddie,Guard-Forward,bulls
Henry,6,Ellenson,Forward,pistons
Wayne,6,Ellington,Guard,heat
Joel,7,Embiid,Center,sixers
James,6,Ennis,Forward,pistons
Tyler,6,Ennis,Guard,lakers
Jawun,6,Evans,Guard,clippers
Jeremy,6,Evans,Forward,hawks
Tyreke,6,Evans,Guard-Forward,grizzlies
Dante,6,Exum,Guard,jazz
Kenneth,6,Faried,Forward,nuggets
Derrick,6,Favors,Forward-Center,jazz
Kay,5,Felder,Guard,pistons
Cristiano,6,Felicio,Center-Forward,bulls
Raymond,6,Felton,Guard,thunder
Terrance,6,Ferguson,Guard,thunder
Yogi,6,Ferrell,Guard,mavericks
Dorian,6,Finney-Smith,Forward,mavericks
Bryn,6,Forbes,Guard,spurs
Evan,6,Fournier,Guard-Forward,magic
'De''Aaron',6,Fox,Guard,kings
